34 - 17 =	62 + 36 =
68 + 0 =	26 + 74 =
84 + 13 =	55 + 30 =
70 - 46 =	64 + 33 =
99 - 63 =	59 - 42 =
41 - 23 =	47 + 16 =
45 - 15 =	81 + 10 =
85 - 4 =	99 + 0 =
15 - 1 =	44 - 38 =
69 + 8 =	84 + 12 =
54 - 44 =	32 + 44 =
81 - 31 =	45 + 0 =
89 - 12 =	32 + 49 =
82 + 0 =	9 + 7 =
9 + 39 =	100 - 64 =
97 - 23 =	94 - 0 =
90 + 8 =	90 + 0 =
78 + 14 =	95 + 2 =
61 + 3 =	67 + 1 =
3 + 95 =	67 - 52 =
19 + 49 =	26 + 9 =
11 + 34 =	69 + 27 =
98 - 26 =	28 - 26 =
84 - 43 =	97 - 19 =
31 + 64 =	61 - 33 =
40 + 55 =	46 + 25 =
75 + 24 =	45 - 23 =
78 - 16 =	36 - 15 =
19 - 10 =	22 + 73 =
12 - 11 =	62 + 26 =
44 - 4 =	59 - 58 =
47 + 53 =	40 + 28 =
54 + 27 =	91 + 6 =
86 + 8 =	29 + 44 =
71 - 70 =	66 - 51 =
39 - 20 =	84 - 54 =
52 - 35 =	55 + 27 =
34 - 24 =	92 - 79 =
55 + 4 =	60 - 25 =
34 + 45 =	79 - 28 =
41 - 20 =	88 + 6 =
37 + 37 =	100 - 59 =
33 - 32 =	90 + 7 =
78 - 19 =	84 - 81 =
60 - 44 =	1 + 11 =
25 - 2 =	66 - 37 =
67 - 25 =	21 - 18 =
19 + 40 =	5 + 57 =
98 + 0 =	46 + 28 =
85 - 46 =	79 - 42 =
